coin,target,toplam_veri,train_sayisi,test_sayisi,mae,mse,r2,train_mae,train_mse,train_r2,test_mae,test_mse,test_r2,r2_gap
AMP,close,1922,1345,577,0.000887266367462924,7.675897365520518e-05,-37.92208310288823,0.0009338634524499919,5.229318772190288e-06,0.9875561684903053,0.000887266367462924,7.675897365520518e-05,-37.92208310288823,38.90963927137854
DAI,close,2142,1499,643,0.000582272044478138,3.601088446770603e-06,-6.94828641939519,0.0013045945308906035,1.12354496268858e-05,0.6529399952084047,0.000582272044478138,3.601088446770603e-06,-6.94828641939519,7.601226414603595
USDC,close,2598,1818,780,0.00014947891552216552,7.673566442785298e-08,-0.25881015619806114,0.0008533662420177224,6.473082982240351e-06,0.6157685574574576,0.00014947891552216552,7.673566442785298e-08,-0.25881015619806114,0.8745787136555188
USDT,close,3247,2272,975,0.0002518092445186641,2.4021001324701535e-07,0.32414078688405223,0.002044157483502365,2.9410073247108047e-05,0.7225571661161454,0.0002518092445186641,2.4021001324701535e-07,0.32414078688405223,0.39841637923209317
USDD,close,1351,945,406,0.0027058005608579356,2.1696237428415613e-05,0.6189938726247426,0.0016450787163284494,9.448140227054493e-06,0.8431980808130171,0.0027058005608579356,2.1696237428415613e-05,0.6189938726247426,0.22420420818827447
SYRUP,close,1033,723,310,0.8510635849198391,1.8044148561888336,0.8858264286350344,0.5066556784957642,0.7326130411451993,0.9810246005478617,0.8510635849198391,1.8044148561888336,0.8858264286350344,0.09519817191282731
ZEN,close,3154,2207,947,0.43644138160330237,0.6363907452899921,0.8963744250171448,1.3734889976774434,9.362768283439598,0.9867749605792429,0.43644138160330237,0.6363907452899921,0.8963744250171448,0.09040053556209804
CAKE,close,1942,1359,583,0.09121644879888376,0.02572369547790576,0.8992660007500908,0.32462411504196986,0.5979751229681025,0.98877491590914,0.09121644879888376,0.02572369547790576,0.8992660007500908,0.08950891515904924
CVX,close,1458,1020,438,0.15764863244756624,0.0839963958239592,0.9134772214272869,0.27582200030511655,0.3521664489510664,0.9921137575757362,0.15764863244756624,0.0839963958239592,0.9134772214272869,0.07863653614844923
SUN,close,1350,944,406,0.000494829735760979,7.646495862049523e-07,0.9078455308696286,0.00033280094117166964,6.070361928971796e-07,0.9830795706715421,0.000494829735760979,7.646495862049523e-07,0.9078455308696286,0.07523403980191345
ICP,close,1720,1204,516,0.5991221406244657,0.441322842726965,0.9172117949159166,1.4001846520464643,18.118647373479604,0.9789580577020073,0.5991221406244657,0.441322842726965,0.9172117949159166,0.06174626278609063
GLM,close,1352,946,406,0.008532069863525879,0.00017966424911278623,0.9064008848727129,0.010276396413753008,0.0003789434428358495,0.9644589462782912,0.008532069863525879,0.00017966424911278623,0.9064008848727129,0.05805806140557834
DCR,close,3794,2655,1139,0.6562063013105617,1.4617240055595606,0.9361303871010046,1.8296997264153503,13.856565410781519,0.9933182940759261,0.6562063013105617,1.4617240055595606,0.9361303871010046,0.05718790697492149
NFT,close,1479,1035,444,6.302879479991254e-09,1.8402337468829553e-16,0.9402055580038249,1.5891577942221516e-08,1.2358076191332463e-15,0.9948338618181257,6.302879479991254e-09,1.8402337468829553e-16,0.9402055580038249,0.05462830381430084
COMP,close,2045,1431,614,1.663888413888767,10.132817217432185,0.9452099692649976,7.813769545656228,254.0587388069667,0.9896199595610347,1.663888413888767,10.132817217432185,0.9452099692649976,0.044409990296037094
YFI,close,2009,1406,603,194.17975480527394,98825.52711858122,0.939551213277867,885.0462824604007,3412450.763811272,0.9809065363305259,194.17975480527394,98825.52711858122,0.939551213277867,0.04135532305265899
UNI,close,1955,1368,587,0.30210656652704426,0.2543504831606439,0.9485962632704968,0.5063166616686545,0.9258597805266893,0.9880400095325684,0.30210656652704426,0.2543504831606439,0.9485962632704968,0.03944374626207159
TRAC,close,1351,945,406,0.023276868306509067,0.001142886518741625,0.8803109124616993,0.0333464308339587,0.007583887704124327,0.9181861512459707,0.023276868306509067,0.001142886518741625,0.8803109124616993,0.03787523878427135
QNT,close,2545,1781,764,2.8853342398989934,18.82381185507975,0.9565320858143137,2.857212633387392,37.10295215627297,0.9932710807954491,2.8853342398989934,18.82381185507975,0.9565320858143137,0.03673899498113542
1INCH,close,1842,1289,553,0.010749042735254065,0.00027678457221454075,0.950960832279075,0.07767126686731039,0.03010432744266452,0.9866979902642671,0.010749042735254065,0.00027678457221454075,0.950960832279075,0.03573715798519206
CRO,close,2506,1754,752,0.004163713744122401,7.15090479775468e-05,0.9602781656046621,0.005312286908166334,0.00014803062521380318,0.9911507885903751,0.004163713744122401,7.15090479775468e-05,0.9602781656046621,0.030872622985713027
SAND,close,1983,1388,595,0.011730566441993039,0.0005561832741928681,0.9601505982389711,0.04811723343229365,0.015262271158959721,0.9907945238692799,0.011730566441993039,0.0005561832741928681,0.9601505982389711,0.03064392563030882
FTT,close,2359,1651,708,0.06771071396595167,0.011505558394552674,0.9658891565448875,0.6211750363293655,1.8174639985802172,0.9951318622880023,0.06771071396595167,0.011505558394552674,0.9658891565448875,0.029242705743114827
SOL,close,2115,1480,635,4.999335328387085,46.051078909950206,0.9659466762613064,2.2835473045465857,19.080956834051413,0.9942823145463874,4.999335328387085,46.051078909950206,0.9659466762613064,0.02833563828508101
LTC,close,4473,3131,1342,2.2070134609893075,11.380163831359257,0.9660738570689422,2.7485953980111315,38.81254864953337,0.9916583529056365,2.2070134609893075,11.380163831359257,0.9660738570689422,0.02558449583669431
DASH,close,4299,3009,1290,1.379272807837485,6.494782401151761,0.9664721154735567,5.840022202115905,236.37191846171856,0.9918663396541325,1.379272807837485,6.494782401151761,0.9664721154735567,0.025394224180575797
IOTA,close,3147,2202,945,0.009884134895049065,0.0001928061194723047,0.9580739771053202,0.038711005435375506,0.008372277219832344,0.9828152550952858,0.009884134895049065,0.0001928061194723047,0.9580739771053202,0.024741277989965615
SNX,close,1452,1016,436,0.06304249821258294,0.012552131599119486,0.9485035411110675,0.12017516291253207,0.032781439972236134,0.972185389311052,0.06304249821258294,0.012552131599119486,0.9485035411110675,0.023681848199984534
GALA,close,1577,1103,474,0.0010108302047398532,2.9519428738789572e-06,0.9630727946507457,0.004670786493869179,0.00017632711627528876,0.9864631235997211,0.0010108302047398532,2.9519428738789572e-06,0.9630727946507457,0.023390328948975414
ALGO,close,2399,1679,720,0.007490172749441523,0.00015678924982869815,0.96642194787484,0.025155986718926635,0.0025150657751110608,0.9893800624467068,0.007490172749441523,0.00015678924982869815,0.96642194787484,0.022958114571866806
XTZ,close,2760,1931,829,0.02817479104357889,0.002174809409344265,0.9647860781835469,0.0972752423426015,0.03293250521669539,0.9863002557887507,0.02817479104357889,0.002174809409344265,0.9647860781835469,0.0215141776052038
LINK,close,3038,2126,912,0.4997993071772774,0.526232715048251,0.9723035659863908,0.40114276993905057,0.7372913918176024,0.9923708952089562,0.4997993071772774,0.526232715048251,0.9723035659863908,0.020067329222565378
CFX,close,1351,945,406,0.004433746364001867,7.633813611962455e-05,0.9601293722562113,0.008004862900313133,0.00019904124190371855,0.9800960189673864,0.004433746364001867,7.633813611962455e-05,0.9601293722562113,0.019966646711175096
BAT,close,3157,2209,948,0.006442243588677645,9.10079027389162e-05,0.9648261048111985,0.018444484351155307,0.0012605757708917785,0.9847513044436745,0.006442243588677645,9.10079027389162e-05,0.9648261048111985,0.019925199632476076
MANA,close,2110,1477,633,0.01147043562859466,0.0003551972703916063,0.9698756780956284,0.03737833345170458,0.008018360556108788,0.9897493359953701,0.01147043562859466,0.0003551972703916063,0.9698756780956284,0.019873657899741715
FLOW,close,1822,1275,547,0.024890517423867102,0.0011208929592527496,0.9726113293942128,0.3223084926842887,0.641320715915324,0.9919570124356417,0.024890517423867102,0.0011208929592527496,0.9726113293942128,0.019345683041428918
WEMIX,close,1351,945,406,0.02433208559550004,0.0014471246208594322,0.9589103866089638,0.06711320668642995,0.015877871921012685,0.9781727870917754,0.02433208559550004,0.0014471246208594322,0.9589103866089638,0.01926240048281158
ZRX,close,1374,961,413,0.008936155018714899,0.0002635385876894176,0.9529713473068622,0.014127160330041032,0.0008002309915243513,0.9705884112205277,0.008936155018714899,0.0002635385876894176,0.9529713473068622,0.017617063913665576
AVAX,close,1949,1364,585,0.8054524923691221,1.605681235062421,0.9725215243205737,1.4833868713342455,7.118638029283728,0.9900555533412732,0.8054524923691221,1.605681235062421,0.9725215243205737,0.01753402902069945
XCN,close,1351,945,406,0.0005454039284665622,7.929831568003959e-07,0.9748715838311793,0.0008766644892876735,9.989291140065205e-06,0.9921952736727914,0.0005454039284665622,7.929831568003959e-07,0.9748715838311793,0.017323689841612033
ADA,close,2947,2062,885,0.01823987053838269,0.0009681507778727791,0.9773197825534988,0.019797784972120296,0.0020307748789752432,0.9942848741242396,0.01823987053838269,0.0009681507778727791,0.9773197825534988,0.016965091570740776
INJ,close,1351,945,406,0.42840641274206775,0.36994089177882133,0.975877065617078,0.6317493910061941,1.2616902748070928,0.9917654400629791,0.42840641274206775,0.36994089177882133,0.975877065617078,0.015888374445901077
DOT,close,1979,1385,594,0.15102846761162061,0.06429382163778603,0.9740084400797576,0.5968441837496372,1.3579761661682337,0.9898335006720922,0.15102846761162061,0.06429382163778603,0.9740084400797576,0.015825060592334572
NEXO,close,2804,1962,842,0.022028255676796445,0.0009655892422966204,0.9790551261759162,0.030483367371670688,0.004682712815081614,0.9941879533920776,0.022028255676796445,0.0009655892422966204,0.9790551261759162,0.015132827216161382
GNO,close,1486,1040,446,4.193442010622364,40.436659122036005,0.9754054284483069,5.9112013206977245,99.55157277564884,0.9900835033480854,4.193442010622364,40.436659122036005,0.9754054284483069,0.01467807489977846
CRV,close,1989,1392,597,0.03505012944444909,0.002079797741566543,0.9569199746156261,0.10112575103678065,0.04337403490057224,0.9706941997176601,0.03505012944444909,0.002079797741566543,0.9569199746156261,0.013774225102034077
RAY,close,1351,945,406,0.11820503510439569,0.03481294980208032,0.9737573376603692,0.05598216153955239,0.017215846005607962,0.9874487232399333,0.11820503510439569,0.03481294980208032,0.9737573376603692,0.013691385579564064
VET,close,2730,1910,820,0.000931858974301507,2.36677758398744e-06,0.9776834855560608,0.001634991078228435,1.587059079687266e-05,0.9909886378008245,0.000931858974301507,2.36677758398744e-06,0.9776834855560608,0.013305152244763696
MX,close,1351,945,406,0.03753244710309248,0.0032303658045465884,0.9820171146048396,0.05154098477689664,0.0067968188239401735,0.9950494415695379,0.03753244710309248,0.0032303658045465884,0.9820171146048396,0.013032326964698249
ETC,close,3468,2427,1041,0.5991193845292858,0.8710107196964829,0.9719614231450959,0.8804927177134985,4.520329472565442,0.9843323325550746,0.5991193845292858,0.8710107196964829,0.9719614231450959,0.012370909409978648
